05.09:22.43.02  INFO	ru.sfedu.hibLabs.lab1.DataProviderHibernate:66 - Columns - [[Ljava.lang.Object;@35adf623, [Ljava.lang.Object;@456f7d9e, [Ljava.lang.Object;@75d366c2, [Ljava.lang.Object;@8f40022, [Ljava.lang.Object;@5232e3f1, [Ljava.lang.Object;@6c8fe7a4, [Ljava.lang.Object;@2047981, [Ljava.lang.Object;@2ad99cf3, [Ljava.lang.Object;@6f31df32, [Ljava.lang.Object;@7c90b7b7, [Ljava.lang.Object;@5d7911d5, [Ljava.lang.Object;@3ba1308d, [Ljava.lang.Object;@5a08b084, [Ljava.lang.Object;@235c997d, [Ljava.lang.Object;@36bed37a, [Ljava.lang.Object;@4a9a878, [Ljava.lang.Object;@1b3ab4f9, [Ljava.lang.Object;@5c6a5192, [Ljava.lang.Object;@1c8f6c66, [Ljava.lang.Object;@552cede7, [Ljava.lang.Object;@1b7f06c7, [Ljava.lang.Object;@151732fb, [Ljava.lang.Object;@729c8063, [Ljava.lang.Object;@40ed1802, [Ljava.lang.Object;@23c767e6, [Ljava.lang.Object;@feb098f, [Ljava.lang.Object;@19e21f89, [Ljava.lang.Object;@31e739bf, [Ljava.lang.Object;@29079032, [Ljava.lang.Object;@7e7743ec, [Ljava.lang.Object;@776015fc, [Ljava.lang.Object;@7f42e06e, [Ljava.lang.Object;@6ad179b4, [Ljava.lang.Object;@2efd2f21, [Ljava.lang.Object;@59c500f7, [Ljava.lang.Object;@316cda31, [Ljava.lang.Object;@50110971, [Ljava.lang.Object;@17d2b075, [Ljava.lang.Object;@6661d8c0]
05.09:22.43.02  INFO	ru.sfedu.hibLabs.lab1.DataProviderHibernate:21 - The size - [8729 kB]
05.09:22.43.49  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:37 - Before run:
05.09:22.46.21  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:22.54.53  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:22.56.24  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:22.59.25  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:22.59.48  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.00.03  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.14.16  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.24.17  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:38 - Before run:
05.09:23.24.19  INFO	ru.sfedu.hibLabs.lab2.DataProviderHibernateTest:44 - loadListPositive:
05.09:23.24.19  INFO	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:110 - addRecord[0]: try to save entity:TestEntity{id=1, name='john', description='any desc', dateCreated=null, check=true, embeddedEntity=EmbeddedEntity{text='Any embedded text'}}
05.09:23.24.19 ERROR	ru.sfedu.hibLabs.lab2.API.DataProviderHibernate:117 - addRecord[0]: saving error!
